내용링크,이름,카테고리,브랜드,브랜드_한글,성별,평점,리뷰수,태그,좋아요 수,조회수,구매수,인기 나이,인기 성별,가격,리뷰1,리뷰2,리뷰3,리뷰4,리뷰5,리뷰6,리뷰7,리뷰8,리뷰9,리뷰10
https://www.musinsa.com/app/goods/3042516?loc=goods_rank,"
[무료반품]
에센셜 텐셀 린넨 셔츠 - 9 COLOR
",셔츠/블라우스,SUARE,(수아레),남,4.8,"후기 2,196개 보기",#린넨#셔츠#린넨셔츠#긴팔셔츠#기본셔츠#베이직셔츠#오버핏셔츠#23S/S#셔츠컬렉션,"22,270",12.4만 회 이상,1.8만 개 이상,24~33,남성,"30,198 ~ 42,000원","소매가 넓은 편이라 팔을 접어도 고정이 쉽게 안되더라고요
제 전완근의 문제라 생각하고 더 열심히 운동하겠습니다..",셔츠는 좋아하는데 여름용이 없었어요 할인도 하길래 구매 했는데 너무 만족합니다 핏도 좋고 재질도 마음에 들어요,좀 비치지만 못입을정도까진 아닌거같네요 한여름엔 좀 덥겠어요,"너무 예뻐서 잘 입고 다니고 있습니다!
잘 입을게요!",너무 잘 입고 다니고 있습니다! 너무 예쁘고 좋아요!,천이 부드럽고 사이즈도 잘맞습니다. 너무 더운여름에는 못입를수잇습니다,XL 샀으면 너무 클뻔했네여 L가 딱 맞는듯해용ㅎ,시원해서 좋아요 색깔도 많이 튀지 않고 린넨소재라 조금 까끌거리기는 하는데 안에 티 받쳐입으면 됩니다 ㅎㅎ,디자인도 이쁘고 너무 좋내요! 추천합니다 다음에 또 구매할게요,"브라운톤 바지랑 톤온톤으로 입을려고샀는데
딱이네요 여름에 반바지랑도 잘매칭되고
여러모로 좋습니다"
https://www.musinsa.com/app/goods/2442409?loc=goods_rank,"
(23SS) [ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK
",반소매 티셔츠,YALE,(예일),"남
여",4.8,"후기 14,852개 보기",#반팔티#여름반팔티#남자반팔티#반팔티셔츠#원마일웨어#패키지/셋업#레인#장마#액티브웨어,"71,139",18.1만 회 이상,6.3만 개 이상,19~28,남성,"26,520 ~ 31,200원","무난무난하게 입기 좋은 티고 아무 바지나 매칭해도 잘 어울려요
구겨짐이 좀 있지만 아주 좋습니다 다음에도 사고 싶네요","입을 옷 없어서 구매했는데 진짜 편하게 잘 입고 있어요!!
재질은 좀 두꺼운 편이고 하얀색은 안에 좀 비쳤고, 제 키 기준으로 허리 살짝 밑에까지 와서 길진 않았어요👍",가격대비 아주 만족합니다. 목이 금방 좀 늘어날거같은데 그건 뭐 가격이 싸니까 다시 사죠뭐. 예쁩니다!!,소재는 일반 면티 느낌이고 여름에 입기에 얇고 시원하진 않습니다.,안에 받쳐입어도 이쁘고 그냥 입어도 예쁩니다 적당한 사이즈라 편해요,원플원이라 더 좋습니다 목도 짱짱해서 조아요 맨족,"편하게 입을 면티가 필요해서 구입했는데
라지로 샀더니 완전 박시하게 편해요.
어깨가 조금 넓어 보여서 아쉽지만
막 입기는 좋을 것 같아요","무난하게 입기 좋아요!
아무 바지나 잘 어울리고 원단도 탄탄해서 입기 좋은 거 같아요.
싸게 사서 추천드립니다.",편하게 입고다니려고 구매했는데 아주 만족합니다. 1ㅡ2년정도 편하게 입고 다시 사려고합니다. 강추!,데일리로 잘 입고 있어요 아주 편하고 핏감도 나이스에요
https://www.musinsa.com/app/goods/2414779?loc=goods_rank,"
pearl t-shirt(white)
",반소매 티셔츠,ODDPEARL,(오드펄),"남
여",4.9,"후기 2,169개 보기",#반팔#반팔티#반팔티셔츠#로고티셔츠#티셔츠#그래픽티셔츠#오버핏,"21,713",11.7만 회 이상,1.6만 개 이상,24~33,남성,"30,511 ~ 33,200원",여름에 편하게 입기 좋은 무난템입니다. 사이즈는 정사이즈로 넉넉하게 잘 맞아요. 탄탄한 재질이에요.,너무 좋아서 재구매했습니다 핏도 소재도 좋아요,색감이 이쁘고 살짝 오버핏느낌이나서 이쁜거같아요,합리적인 가격에 잘 산 것 같습니다. 잘 입겠습니다.,검정색이나 청바지에 입으면 너무 좋아요 ! 잘못사면 길이는 긴데 가슴폭 좁아서 별로인 티들 많은데 이 옷은 널널해서 짱예!,"스펙 기준으로 적당한 세미오버핏이 나오고
로고가 과하지 않게 있어서
옷이 심심하지 않고 포인트가 되네요.",크기가 잘 맞아요. 재질도 부드럽고 잘 산것 같네요.,재질도 부드럽고 크기도 맞고 다 좋습니다. 마음에 듭니다.,무난하게 캐주얼로 잘 입을거 같네요 소재도 얇고 탄탄해여,로고도 마음에 들고 재질도 좋아서 입기 좋을 것 같아요
https://www.musinsa.com/app/goods/2518417?loc=goods_rank,"
[무료반품][아울렛전용]
2PACK 스몰로고 반팔티 (JO5TSU153BK)
",반소매 티셔츠,JEEP,(지프),"남
여",4.7,"후기 2,007개 보기",#여름반팔티#로고티셔츠#오버핏반팔#티셔츠#반팔#2PACK#아울렛,"32,446",12.4만 회 이상,2.3만 개 이상,,,,,,,,,,,,,
https://www.musinsa.com/app/goods/3341803?loc=goods_rank,"
[2PACK] EL 스트리트 아트워크 오버핏 반팔티 2종 2PACK
",반소매 티셔츠,ELIMENO,(엘리메노),남,4.8,후기 360개 보기,,"11,159",10만 회 이상,6.8천 개 이상,19~28,남성,"30,683 ~ 39,900원",사이즈를 조금 크게 사긴 했는데 그래도 잘어울린다,가성비로 입을려고 삿음. 사이즈도 적당하고 배송빠르고 굿,박음질 마감이 퀄리티가 좀 떨어지긴하는데 가격 생각하면 감안할정도고 가성비있게 입을만합니다. 정사이즈 추천,"보통의 면재질에 딱 무난한 반팔티입니당 거기에 등뒤레터링도 예쁘고, 어디에나 잘어울리는 반팔티라서 좋아요!","오빠꺼 여름 반팔티 샀어요!! 2PACK인데도 가격도 좋고, 생각보다 크지만 프린팅도 예쁜거 같아서 맘에 들어요~","이번 여름 무난하게 입을 반팔이 필요했는데,
딱이네요!",디자인은 정말 예쁘고 포인트주기 좋은데 오버핏치고는 사이즈가 생각보다 작았고 원단 두께가 얇아서 흰색은 조금 비칠 거 같아서 걱정이에용.. 그래듀 편하게 입고다니기 좋을 거 같아요,프린팅이 맘에 들고 싸게 두벌을 살 수 있어 좋아요. 단품으로 입기 좋아요.,"블랙 3으로 시켰었는데 4로와서 좀 크네요ㅠㅜ
그거말곤 프린팅 예쁘고 다 좋아요",뒷면 프린팅이 엄청 예뻐서 엄청엄청 맘에 들었어요!!!
https://www.musinsa.com/app/goods/1944612?loc=goods_rank,"
컷 헤비 피그먼트 티셔츠-차콜-
cut-heavy PIGMENT tshirts(CHARCOAL)
",반소매 티셔츠,SOVERMENT,(소버먼트),남,4.9,"후기 7,912개 보기",#피그먼트#반팔#반팔티#티셔츠#오버핏#무지#깡스타일리스트PICK,"39,349",12.5만 회 이상,3.4만 개 이상,19~28,남성,"36,600원","재질이 탄탄한 편이라 핏 예쁘게 잡혀요
기장 매우 긴편이라 팔 접고 넣입이 이쁨",리뷰 보니 두껍고 무겁다는 말이 많던데 생각보다 무겁지도 않고 두껍지도 않아요 굿,배송도 빨리오고 개인적으로 팔을 접어서 입으면 딱 이쁜 것 같아요,피그먼트 위싱이 잘 되어있고 등 뒤 스티치 디테일이 이쁘네요,"원단이 좋고 핏도 이쁩니다
세일기간때 잘산거 같아요!","타사 피그먼트 워시드 티셔츠랑 고민하다가 후면 절개 라인 들어간 게 맘에 들어서 소버먼트로 구매했습니다.
색이 딱 제가 원하던 물빠진 차콜입니다. 원단이 얇진 않으나 지금 날씨에 뭘 입어도 더워서 그런가 자주 입게 되네용.
오버핏 티셔츠 고민하시면 추천드립니다.","제 스펙이면 오버하게 m 사이즈 추천드립니다.
세탁해도 변형없을것같은 마감입니다. 좋아요",이뻐요 세일할 때 사서 되게 기분 좋네요 잘 입을게요!,"소버먼트 제품 근일년동안 다섯개 구매해봤는데 가격대비 퀄리티나 만듦새가 좋고 탄탄하고 오래 입을 수 있을것같은 것이 특징인데, 맨투맨이 너무 탄탄하고 두꺼워서 여름 제품인데 덥지 않을까? 너무 탄탄해서 덥지 않을까? 생각했는데, 그렇게 두껍지 않고 딱 적당합니다. 두껍다는 후기, 얇다는 후기, 수백개씩 봐서 더 헷갈렸는데 너무 얇으면 꼭지 비침 때문에 신경쓰여서 자세 소심해지고 두꺼우면 더워서 손안가서 안입을것 같았는데, 딱 그 중간정도 입니다. 탄탄하고 짱짱하되 두껍진 않다. 각이 잘잡히고 오버해서 과한비만이거나 미사일형 젖이 아닌이상 꼭툭튀 걱정도 크게 없을듯하고요. 빼입했을땐 딱 좋은데 오버하고 허리쪽 통이 커서 넣입하니 앞에서 보면 예쁜데 옆이나 뒤에서 보면 허리쪽이 떠서 이상적이게 맘에 들진 않습니다. 스탠다드한핏도 있으면 좋을듯 하네요.",길이랑 사이즈 딱 제가 원했던거라 넘 좋어용 최고
https://www.musinsa.com/app/goods/3149296?loc=goods_rank,"
[무료반품]
케이블 라운드 하프 니트 - 6 COLOR
",반소매 티셔츠,SUARE,(수아레),남,4.9,"후기 2,933개 보기",#반팔#반팔니트#반팔티#티셔츠#여름니트#니트#니트컬렉션#23SUMMER#서머니트,"15,622",8.3만 회 이상,1.6만 개 이상,19~28,남성,"25,093 ~ 34,900원",워셔블이긴 한데 조심스럽게 인스트럭션대로 세탁해도 약간 줄어듭니다,꽈배기 패턴이 마음에 들어서 샀는데 얇고 좋습니다. 약간 머슬핏이에요,가성비 좋고 색깔 쨍하고 예쁩니다. 세탁은 아직 안해봐서 모름,"아주 이쁜 니트입니다.
여름용이지만 사실 조금 더워요,
왠만함 바지에 모두 잘 어울리고 고급스럼",사이즈는 적당한 105느낌이구 되게 얇은편이라 한여름에도 입을수 있을것 같아요,"쨍한 그린색입니다 근데 약간 머슬핏느낌이나고,, 기장이 조금
빼입하긴 애매해요 넣입해야할듯",한여름에 입기는 덥지만 가성비좋게 고급스러움이 있어요,가격에 비해 엄청 고급스럽고 조금 두껍고 팔쪽이 엄청 쫀쫀해요,빨면 수축이 조금 있긴해서 사이즈 업해도 좋을거 같아요,"아이보리 진짜 이쁘네요
케이블 패턴이라 툭튀도 없음"
https://www.musinsa.com/app/goods/3187851?loc=goods_rank,"
[무료반품]
[2PACK] 쿨 니트 카라 OR 라운드 니트 세트
",반소매 티셔츠,SUARE,(수아레),남,4.8,"후기 6,392개 보기",#반팔니트#니트#여름니트#카라니트#반팔#린넨#반소매컬렉션#니트컬렉션#23SUMMER#니트반팔,"31,371",11.2만 회 이상,3.5만 개 이상,19~28,남성,"35,878 ~ 49,900원",네이비 카라 니트 크림색 슬랙스 혹은 팬츠 같이 입으면 색 조화 이뻐요! 또한 네이비 니트 크림 니트 둘다 검은색 혹은 그레이 슬랙스 매치하면 이뻐요!,약간 머슬핏 나면서 좋은데 젖툭튀가 조금 아쉬워요,심플하고 정말 가성비 좋게 잘 산 제품인 것 같아요!,가볍고 편하고 좋아요 니트인데도 별로 안덥고 시원하네요,가볍게 입기 너무 좋아요 덥지도 않고 좋습니다. 굳굳,니트 필요했는데 이쁘네요 검은색 카키색 둘다 좋습니다,회사 출근할 때 입기 좋아요 세탁기 막돌려도 줄어들거나 그런것도 없어요,역시 가성비! 두개해서 너무 좋은 가격에 구매했습니다.,"기대했던거 이상으로 색깔 핏 다 예뻐요
재질도 크게 덥지도 않아요
앞으로 맛도리로 자주 입을꺼같아요 .","일단 색감 너무 좋고 재질도 시원하고 좋습니다.

사이즈는 크지도 않고 딱 적당합니다.

초록색 색감 너무좋습니다. 아직 입질 않아서 후기는 못올렸네요"
https://www.musinsa.com/app/goods/3143791?loc=goods_rank,"
[Package][카라+라운드 선택] COOL 린넨 라이크 하프 니트_16 COLOR
[Package][Collar OR Round] COOL Linen Like Half Knit_16 COLOR
",반소매 티셔츠,KIIMUIR,(키뮤어),"남
여",4.9,"후기 7,914개 보기",#니트웨어#니트컬렉션#반팔니트#데일리니트#여름니트#카라니트#라운드니트#워셔블#써머컬렉션,"26,538",11.5만 회 이상,3만 개 이상,19~28,남성,"34,673 ~ 39,900원",저렴한 가격으로 가성비있게 쓸 수 있어서 좋아요!,어디든 매치해도 예쁘고 편해요~! 기분 좋게 입고다닐것 같아요~,팔통이 약간 작게 나온편이긴 합니다 운동하신 분들은 업하세요,팔통이 약간 작게 나온편이긴 합니다 운동하신 분들은 업하세요,사이즈는 딱 정핏으로 좋은거같아요 너무 얇아서 입으니까 오히려 춥다고 느꼈어요,이너 안입으면 좀 까칠하고 디자인 가성비로 만족,사이즈는 괜찮은데 한여름에 입기는 살짝 어렵긴하지만 한번 도전해보려고요,얇아서 여름에 너무 잘 입을 것 같아요 세일해서 너무 잘 샀네요,니트소재여서 까칠할줄알았는데 엄청 부드러워요,두께도 딱 여름에 입기 좋은 만큼의 얇기! 땀나도 표시 잘 안나서 좋네요!
https://www.musinsa.com/app/goods/1841764?loc=goods_rank,"
(23SS) 2 TONE ARCH TEE WHITE
",반소매 티셔츠,YALE,(예일),남,4.8,"후기 15,522개 보기",#그래픽티셔츠#오버핏반팔#반팔티#로고#그래픽#최현욱착용#이동휘#이동휘티셔츠#이동휘반팔,"88,553",8.8만 회 이상,3.4만 개 이상,40,여성,"20,994 ~ 27,300원",정사이즈 좋아하는 편이라 스몰로 주문했고 핏 예쁘게 잘 맞아요,크게 입으려고 엑라 시켰는데 저한테도 오버핏으로 잘 맞고 동생한테도 잘 맞네용! 예뻐요 저렴하게 잘 구매한 것 같아요,예일 티는 언제나 짱짱하고 핏도 루즈하게 이쁜데 가격도 깡패라 계속 손이 가는 것 같아오,좋아요 재질도 좋고 핏도 좋네요 다음에 구매할 의사잇습니다,배송도 빠르게 잘왔어요 사이즈도 잘맞고 편하네요,얇고 깔끔해서 만족해요 배송도 빨랐습니다 굿굿,세탁기60도 건조기 돌려도 괜찮은 원단이고 어디에도 어울리는 디자인!!,"원단 도톰해서 후즐하지않아요.
핏도 딱좋고, 쨍한 화이트에
세탁해도 로고 물빠짐 없어요","S사이즈가 품절이라서 xs 사기엔 너무 작을거 같아서 m 샀는데
좀 많이 큼ㅜ 그래도 그냥 교환 하기 귀찮아서 오버핏으로 입을겨...",배송도 빠르고 핏도 이쁩니다..다른 색상도 구매해야겠어요
https://www.musinsa.com/app/goods/3080482?loc=goods_rank,"
(시티보이) 오버핏 옥스포드 반팔셔츠_SPYWD25C01
",셔츠/블라우스,SPAO,(스파오),남,4.8,"후기 3,985개 보기",#남자셔츠#오버핏셔츠#캐주얼셔츠#반팔셔츠#깡스타일리스트#깡스타일리스트PICK#깡,"16,601",18.7만 회 이상,2만 개 이상,19~28,남성,"19,999 ~ 32,310원",기본 스탈인데 오버한 맛있는 소라색 셔츠라 어디에도 잘어울려요,얇은 재질은 아닙니다.오버사이즈라 한사이즈 적게 구매했고 소매는 조금 길어 접었습니다. 색상은 밝아서 시원해보입니다.,"171/58
요즘 시티보이로 많이 입어서 저도 한번 사봤어요
안에 흰색 티 입고 위에 입으면 예뻐요",하늘색 사고 너무 가성비 좋아서 민트색 샀어요 연한민트라 과하지 않아요,여름휴가때 입으려고 샀는데 잘입고 다녀왔어요! 커플로 입으려고 여자친구것도 샀는데 좋아하네요 감사합니다!! 무게 가볍고요 넣입빼입 다 이뻐요 나름 시원하고 좋아요,여름휴가때 입으려고 샀는데 잘입고 다녀왔어요! 커플로 입으려고 여자친구것도 샀는데 좋아하네요 감사합니다!!,"105가 딱 맞을줄 알았는데 막상 시키니 살짝 생각했던 것보다 큰 느낌이 났습니다 그래도 디자인은 마음에 드니 좋네요

가볍게 겉쪽에 하나 걸치고 나가면 좋을 것 같은 옷인거 같습니다",키가 좀 작아서 기장이 조금 아쉽지만 저는 단추 풀어서 잊으려고 산거라서 괜찮아요 가격 대비 퀄이 좋습니다,구김이 심하고 두꺼워서 싼가격 아니였으면 사진 않았을거 같아요,배송도 빨랐고 제품 포장도 만족스럽네요 옷은 사이즈 대비 오버한데 한치수 작게 샀더니 좋아요
https://www.musinsa.com/app/goods/3276155?loc=goods_rank,"
8/10 배송 
[패키지] 손더 반팔티셔츠 + 스페이스 반팔티셔츠 2PACK (KMST6693+KMST6696)
[Package] Sonder Short Sleeve +Space Short Sleeve 2PACK (KMST6693+KMST6696)
",반소매 티셔츠,EZKATON,(에즈카톤),남,4.8,"후기 1,636개 보기",#반소매티셔츠#반팔#티셔츠#반팔티추천#반팔티셔츠#그래픽티셔츠#남자반팔티,"18,127",7.5만 회 이상,1.1만 개 이상,19~23,남성,"32,992 ~ 35,900원",아이가 마음에 들어해요 두께 적당해요 디자인 예뻐요,디자인도 색도 넘 이뻐용 휘뚜르마뚜르 입을 수 있는 반팔티,여름에 입기 좋아요! 내년에 더입어도 될것같아요,얇고 시원해서 마음에 들어요 투팩이라 가성비 굿,"가격 생각하면 너무 좋지만, 여름에 입기엔 조금 두꺼운 감이있어서 덥네요 그래도 예뻐요",이정도 가격이면 가성비가 너무 좋아요 가격대비 질도 좋고요,"저렴하게 좋은옷을 구매했습니다.
적당히 오버한 사이즈라서 핏도 예쁘게 잘나오네요",완전 이쁘고 색감도 이뻐여 재질이 구김이 없을거 같아요,화면보다 훨씬 예쁘고 원단도 톡톡해서 고급스러워 보여요~~ 넥라인이 일반 티셔츠랑 다른 맨투맨처럼 되어 있어서 좋아요~,친구랑 함께 시켰는데 디자인도 괜찮도 가성비도 좋아서 가성비 티셔츠 찾으시는 분들께 추천이에요
https://www.musinsa.com/app/goods/3196754?loc=goods_rank,"
8/10 배송 
[패키지] 뉴웨이브 크루즈 + 에잇티즈 반팔 티셔츠 2PACK (YKST1401+YKST1400)
New weave Cruz + Eighties half sleeve t-shirts 2PACK (YKST1401+YKST1400)
",반소매 티셔츠,FP142,(페플),남,4.8,"후기 1,898개 보기",#그래픽#오버핏반팔#남자반팔티#티셔츠#그래픽티셔츠#여름반팔티#로고티셔츠,"18,941",7만 회 이상,1.7만 개 이상,19~28,남성,"32,992 ~ 35,900원",기대보다 별로에요 먼지 많이 묻는 천으로 색상도 선명하지 않아요,싸고 품질이 가격대비 좋습니다. 핏도 나름 괜찮구요. 자주입을거같아요.,두팩에 이정도 퀄리티면 나쁘지는 않은데 재질이 폴리 면 혼방이라기보다는 면에 극한으로 가깝구요 생각보다 크지만 몸이 되게 커보이는효과가 있네요 컬러도 이쁘고 앞에 프린팅이 과하지않고 심플한게 이번여름 잘 입고다닐거같습니다!,아이보리 색이 살짝 애매하게 나왔어요.. 아쉬웠지만 그래도 카키색도 이쁘고 오버핏이라 이쁘게 떨어지고 기장도 마음에 들어서 구매했습니다,소재가 여름에 입기에 얇진 않지만 소재도 핏도 좋아서 만족합니다,항상 잘 이용하고있는 페플입니다. 반팔이 두꺼워서 좋습니다,오버핏이라 외소한 체형인데도 마른지 않아 보이는 느낌입니다.,면 재질도 부드럽고 편하게 입기 좋아요. 특히 사이즈가 박시해서 자주 입을 것 같아요. 감사합니다!,"빠른 배송, 꼼꼼한 포장에 우선 만족하고,
일단 핏이좋고 색감이 편안하고 왠만한 바지에 다 어울림",색감고 이쁘고 가격대비 퀄리티가 좋게 나온거 같아 만족해요!
https://www.musinsa.com/app/goods/3086241?loc=goods_rank,"
[SET] 아치로고 오버핏 원턱 트레이닝쇼츠 셋업 백메란지
",반소매 티셔츠,MOZMOZ,(모즈모즈),남,4.8,"후기 1,434개 보기",#반팔티셋업#셋업#트레이닝복세트#여름트레이닝복#라운드반팔티#트레이닝반바지#반팔반바지세트,"25,743",9.8만 회 이상,1.3만 개 이상,19~28,남성,"31,981 ~ 34,800원","색감이 아주 이뻐요
녹색인데 잘나왔어여
박시하게 입을거면 m자 좋아여","가격대비 아주 좋고 코디 하기도 좋아요 추천 합니다
따로따로 코디 하는것도 강추!!!!",상하의 모두 넉넉한 오버핏이구요 옷감 좋고 색감 좋고 편하게 집앞 마실나갈때 입기 좋아요 이 가격에 상하의 세트라니 가성비 굿,편하게 입어도 좋고 오오티디로 딱이에요 사이즈도 적당합니다,스타일사진보고 넘 맘에 들어 주문했네요.아이의 체형탓인지 상의가 좀길긴합니다. 색상과 디자인은 맘에들어 만족합니다. 상의는 길이를 수선하긴했지만 입었을때 딱 예쁘고 좋네요.두께감도 적당히 있어 잘입을것 같아요.,"배송 하루만에 도착했고
먼저 색감이 딱 화면이랑 비슷하고
생각보다 밖에서 입고 다녀도 아주 좋습니다",서이즈는 딱 맞고여 얇아서 입기 편해요 색감이 살짝 아쉽기는 하나 초록 반바지랑 조화도 어울리고 코디하기더 편해요,"저렴하게 너무 잘 사서 입고있습니다
편해요 완전",생각하던대로의 옷이예요 여름인데 잘 입고 다니겟습니다아,"상의, 하의 셋업에 가격 저렴하고 디자인 및 색상도 선명하여 좋았습니다."
https://www.musinsa.com/app/goods/3129731?loc=goods_rank,"
(우디) 그래픽 반팔티_SPRPD24C02
",반소매 티셔츠,SPAO,(스파오),"남
여",4.8,"후기 3,477개 보기",#반소매#반팔티#그래픽티셔츠#오버핏#반팔티셔츠#반팔#오버핏반팔,"23,801",18.6만 회 이상,2.8만 개 이상,19~28,남성,"11,085 ~ 17,910원",프린팅 있는 티셔츠중에 가장 무난하고 깔끔해서 어디든 잘어울리는듯함,생각보다 컸는데 오버핏으로 입으먼 진짜 이뻐요 다른색도 살거에용!,"오버핏이라기엔 사이즈가 그리 크진 않고 조금 작은 느낌이구요
나름 괜찮습니다.",색감이 진해서 예쁘고 캐릭터가 귀여워서 잘입을거같아요,가격 완전 저렴하고 가격대비 퀄리티가 엄청나요! 재질이 부드럽고 주름 잘 안지는 재질이고 어디에나 잘 어울리는 옷이네용 완전 자주 입을것 같아요!,너무너무기여워요 잘 입을 것 같습니다 맨족이야 아주,색감도 좋고 너무 귀엽고 예뻐요 싸게 잘 샀습니다,이거 티셔츠 거의 교복인데 쿠폰써서 만원에 샀어요 개꿀이에욜,할인해서 샀는데 굉장히 귀엽고 편하네요 좋습니다,"배송은 상당히 빨리 옵니다.ᐟ.ᐟ
옷 자체는 이쁘고 크기도 적당하게 맞아서 이뻐요
옷 두께는 좀 얇은편입니다
싸게 구매했습니다 잘 입을게요"
https://www.musinsa.com/app/goods/3204179?loc=goods_rank,"
[패키지] NBNED3A013 / 프로즌 쿨코튼 2-PACK 티셔츠
",반소매 티셔츠,NEW BALANCE,(뉴발란스),남,4.9,"후기 1,590개 보기",#반팔티#티셔츠#그래픽#여름반팔티#반팔#기능성#로고티셔츠#뉴발란스2PACK#러닝컬렉션,"17,531",7.8만 회 이상,1만 개 이상,24~33,남성,"47,854 ~ 49,900원",심플하고 정말 가성비 좋게 잘 산 제품인 것 같아요!,가성비 좋고 배송도 빠르고 더운 지금 입기에 딱 입니다.,이번 여행에 시원하게 입으려고 샀는데 땀 흡수도 잘되고 편하게 잘 입었어요~,"목이 안 늘어나는 티셔츠를 찾다가 발견했어요
탄탄해서 부담없이 입기 좋아요!!",얇고 운동용으로 좋습니다. 대신 흰색은 비침이 좀 있어서 부담,재질도 좋고 편하고 막입기 너무너무 좋은 티셔츠에요,배송도 빠르게 잘왔어요 사이즈도 잘맞고 편하네요,배송 빠르게 받아보고 입어봤는데 재질 시원하고 좋은게 평소에 운동할때 입기에 좋은거 같습니다.,"배송도 빠르고 품질도 좋습니다 제품이 얇아서 더운 여름에
입기 좋을 거 같아요",적당 딱마즈ㅡ ㅁ 한치수 더 큰거 살까 말까 고민고민하지마 걸
https://www.musinsa.com/app/goods/3200626?loc=goods_rank,"
013502 코튼 피케 폴로 반팔 티셔츠_23color
",피케/카라 티셔츠,GIORDANO,(지오다노),남,4.9,"후기 3,453개 보기",#카라티셔츠#피케티#카라티#반팔카라티#반팔티셔츠#피케티셔츠#반팔,"18,770",12.7만 회 이상,3만 개 이상,24~33,남성,"18,380 ~ 20,000원",옷감 괜찮고 핏도 원하던 핏이어서 맘에 듭니다~ 앞으로 자주 입을 것 같습니다,매년 여름마다 구매하고있습니다. 잘입겠습니다,잘입겠습니다. 매년 여름마다 주기적으로 구매합니다,정말 무난한 폴로 반팔 티셔츠에요. 세탁해도 딱히 문제 없네요,"기본 가성비 폴로 반팔 티셔츠입니다!
색깔별로 구매하면 좋을 것 같아요!","차은우님 보고 바로 골랐는데, 사이즈 딱 좋아요 ^_^b ㅋㅋ",생각했던 것보다 퀄리티 좋아서 만족스럽습니다.,생각했던 것보다 퀄리티 좋아서 만족스럽습니다.,베이직한 오트밀 피케티입니다. 핏이 이뻐서 좋습니다.,제가 몸통이 두꺼운 편인데 110 사이즈를 착용하니 맞습니다.
https://www.musinsa.com/app/goods/3245031?loc=goods_rank,"
부클 카라 하프 슬리브 가디건 니트 (PURE BLACK)
BOUCLE COLLAR HALF SLEEVE CARDIGAN KNIT (PURE BLACK)
",반소매 티셔츠,TRILLION,(트릴리온),"남
여",4.8,"후기 2,515개 보기",#오버핏#여름니트#반팔#반팔니트#서머니트#니트#카라니트,"20,985",10.9만 회 이상,1.5만 개 이상,19~28,남성,"32,596 ~ 39,800원",미니멀룩에 잘 어울리는 가디건 니트! 깔끔한 코디를 하신다면 강추,"가성비좋아요
원단이좀두껍지만
가볍게입기좋습니다",세일할때 저렴히 구매했어요. 많이 더운여름에는 입기조금 더워요 선선하게 더운날씨에는 가능 할꺼 같아요,이번에 여행가서 잘 입었습니다 더위를 많이 타서 그런가 좀 덥더라구여,총장은 짧은데 소매는 길고 너무 축 늘어지는 핏이라 전체적으로 불균형적인 느낌을 받았습니다 마감처리도 많이 아쉬웠네요,얇아서 시원하고 통풍도 잘되는데 핏도 좋습니다,여름에 입으면 이쁠 것 같았는데 잘산 것 같습니다! 생각했던것보다는 조금 까슬거리긴한데 그래도 맨살에 입기 괜찮아요,입음 입을수록이쁘네요 잘입었어요.~ 배송도 빠르고. ㅎ,깔끔하고 이뻐요~~ 살짝 덥긴한데 갠찮아여 좋아요,진짜 이뻐요!! 생각보다 핏도 잘나오고 진짜 강추!!!! 요즘 많이
https://www.musinsa.com/app/goods/3249016?loc=goods_rank,"
BRUSH FADING HALF SLEEVE T-SHIRTS (BLACK)
",반소매 티셔츠,JUAN HOMME,(주앙옴므),"남
여",4.9,"후기 2,261개 보기",#남자반팔티#여름반팔티#그래픽티셔츠#그래픽#오버핏반팔#로고티셔츠#반팔팃츠#티셔츠컬렉션#23SUMMER,"20,057",7.9만 회 이상,9.9천 개 이상,19~28,남성,"43,161 ~ 52,700원",고민하다가 결국 샀는데 기대이상으로 이쁘네요. 프린팅 디자인이 실제로 받아보면 기대 이상으로 이쁩니다.,약간 두꺼운듯?한 반팔입니다 탄탄하구 좋아요 손 많이 갑니다,"너무 예뻐요
심심하지 않게 프린팅이 있어서 너무 마음에 들어요
다른 색상도 사고 싶습니다
감사합니다 ㅎㅎ",배송 오래걸린다고 했는데 엄청 빨리왔어요 만족합니다,"여름에 전투용, 스타일용 안 가리고 입을 수 있는 범용성 높은 옷, 체형보완 잘 되고 한여름에 살짝 더울 수는 있는데 못 입을 정도는 아니라 자주 입어요!","여러 리뷰, 유튜브 보고 마침 저렴해서 구매했는데
옷에 정성이 들어가있는게 느껴지네요.
사이즈는 평소 95 입는데 S는 97~98 정도 인 것 같아요.","올 여름 SNS를 보고 구매한 주앙옴므 반팔티 입니다.

디자인이 확실히 올여름 강타할만 했네요.
너무 매력적이고 데님에 매치해서 입으면 좋습니다!

예약배송인데 배송도 일주일 가량 빨리오고 마감도 준수하였습니다.

한여름에 지금 입기에는 에어리즘 입으면 충분히 좋다고 봅니다.

올 가을 맨투맨 버전도 나온다고 들었는데 존버할게요~!~!",요근래 제일 잘 산티중 하나이구여 디테일이 짱짱함,사이즈 핏 가격 세마리토끼를 다 잡은 반팔티셔츠,너무 이쁜 주앙옴므 그녀석... 이쁜 티셔츠에 퀄리티도 높은건 확실합니다!!
